id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
116,7.9,0.36,0.26,2.1,0.0819999999999999,14.0,28.0,0.99708,3.21,0.7,9.4,7.0
117,12.5,0.24,0.51,2.2,0.1169999999999999,6.0,20.0,0.9983,3.09,0.74,9.3,4.0
118,11.3,0.35,0.54,2.6,0.079,12.0,20.0,0.9984,3.09,0.87,9.4,5.0
119,12.6,0.3,0.44,2.1,0.077,38.0,51.0,1.0004,3.32,0.62,9.8,4.0
120,7.5,0.39,0.32,2.7,0.08,17.0,44.0,0.9986,3.34,0.6,9.3,5.0
121,9.3,0.44,0.14,2.3,0.093,21.0,52.0,0.9962,3.21,0.6,9.5,6.0
122,8.6,0.34,0.43,1.8,0.078,14.0,31.0,0.99498,3.22,0.49,9.5,5.0
123,7.1,0.32,0.31,2.5,0.07,5.0,31.0,0.9972,3.32,0.67,9.5,5.0
124,7.6,0.645,0.12,2.5,0.074,19.0,64.0,0.9982,3.31,0.59,9.2,6.0
125,12.0,0.26,0.49,2.0,0.08,11.0,28.0,0.9996,3.15,0.58,9.5,5.0
126,8.0,0.54,0.21,2.2,0.0969999999999999,12.0,45.0,0.9978,3.29,0.57,9.4,6.0
127,9.3,0.65,0.14,2.4,0.072,7.0,27.0,0.9976,3.21,0.63,12.3,5.0
128,7.5,0.73,0.06,1.7,0.077,15.0,26.0,0.9952,3.37,0.57,11.9,7.0
129,7.0,0.69,0.02,2.3,0.05,6.0,16.0,0.9984,3.24,0.72,9.4,6.0
130,7.1,0.31,0.31,1.8,0.071,12.0,28.0,0.99572,3.32,0.64,9.5,5.0
131,8.1,0.41,0.39,2.4,0.078,24.0,76.0,0.9996,3.16,0.6,9.9,5.0
132,7.8,0.48,0.1,1.4,0.067,10.0,22.0,0.99774,3.5,0.77,9.8,5.0
133,7.3,0.54,0.02,1.8,0.062,6.0,20.0,0.9962,3.39,0.73,9.2,6.0
134,7.2,0.55,0.1,1.9,0.086,9.0,23.0,0.99577,3.34,0.52,9.4,5.0
135,6.6,0.5,0.09,1.7,0.086,19.0,32.0,0.99688,3.44,0.54,9.5,5.0
136,7.4,0.7,0.0,2.1,0.08,16.0,42.0,0.9972,3.54,0.61,9.5,5.0
137,7.8,0.49,0.45,2.0,0.078,14.0,28.0,0.9972,3.26,0.69,9.9,7.0
138,9.6,0.43,0.45,1.8,0.07,18.0,86.0,0.9986,3.39,0.87,10.5,6.0
139,9.1,0.61,0.24,2.2,0.086,5.0,9.0,0.9973,3.26,0.55,10.1,3.0
140,7.5,0.835,0.0,2.0,0.087,22.0,47.0,0.9972,3.44,0.49,9.1,6.0
141,9.2,0.68,0.15,2.8,0.08,9.0,20.0,0.9983,3.21,0.64,9.7,5.0
142,7.8,0.42,0.16,1.7,0.073,24.0,52.0,0.9982,3.41,0.51,11.0,7.0
143,7.6,0.6,0.03,2.1,0.079,11.0,27.0,0.99498,3.38,0.66,9.4,5.0
144,6.7,0.52,0.0,1.7,0.0819999999999999,24.0,51.0,0.99633,3.35,0.58,11.9,5.0
145,6.2,0.6,0.0,2.2,0.077,10.0,22.0,0.99572,3.58,0.5,10.5,7.0
146,9.2,0.34,0.24,2.1,0.07,34.0,48.0,0.9991,3.41,0.54,9.0,5.0
147,9.7,0.54,0.63,2.5,0.077,8.0,19.0,0.99786,3.08,0.61,11.0,5.0
148,6.9,0.53,0.02,2.6,0.077,11.0,24.0,0.99668,3.26,0.82,11.5,7.0
149,7.7,0.635,0.22,2.0,0.08,16.0,88.0,0.99734,3.31,0.75,9.7,6.0
150,7.0,0.55,0.12,2.1,0.063,5.0,16.0,0.99774,3.2,0.48,9.5,6.0
151,7.9,0.62,0.05,1.8,0.07,16.0,40.0,0.99562,3.27,0.49,11.1,7.0
152,9.0,0.66,0.21,2.1,0.063,13.0,47.0,0.99572,3.27,0.66,10.0,5.0
153,9.4,0.57,0.18,1.8,0.077,8.0,18.0,0.9963,3.32,0.58,9.6,6.0
154,7.6,0.32,0.41,2.1,0.088,5.0,31.0,0.99648,3.28,0.57,9.5,6.0
155,9.0,0.4,0.42,2.3,0.092,27.0,65.0,0.9964,3.32,0.57,10.5,5.0
156,8.4,0.57,0.07,1.8,0.0819999999999999,25.0,67.0,0.9966,3.3,0.66,9.6,6.0
157,7.0,0.78,0.0,1.8,0.052,8.0,19.0,0.9964,3.3,0.56,10.4,6.0
158,7.1,0.56,0.0,2.1,0.077,11.0,45.0,0.99738,3.25,0.54,11.1,6.0
159,7.6,0.44,0.24,2.1,0.079,25.0,67.0,0.99616,3.28,0.54,9.2,5.0
160,7.1,0.58,0.12,2.3,0.076,24.0,66.0,0.9969,3.38,0.55,9.9,5.0
161,7.2,0.5,0.2,1.9,0.0969999999999999,17.0,58.0,0.9956,3.46,0.48,9.9,6.0
162,7.0,0.35,0.32,2.7,0.072,5.0,19.0,0.9968,3.34,0.59,10.7,7.0
163,9.3,0.67,0.15,1.6,0.068,6.0,13.0,0.9956,3.29,0.64,9.2,5.0
164,7.2,0.6,0.04,2.0,0.06,18.0,34.0,0.9964,3.4,0.56,11.2,6.0
165,7.4,0.735,0.2,2.1,0.077,6.0,18.0,0.9972,3.29,0.6,9.7,6.0
166,7.7,0.5,0.21,2.2,0.063,10.0,21.0,0.99724,3.31,0.59,10.0,5.0
167,9.2,0.34,0.49,3.4,0.079,10.0,28.0,0.9994,3.2,0.76,9.5,5.0
168,7.8,0.84,0.07,2.4,0.0969999999999999,10.0,23.0,0.99504,3.27,0.5,10.7,5.0
169,7.2,0.67,0.0,2.3,0.088,12.0,47.0,0.99528,3.33,0.46,11.2,8.0
170,9.3,0.58,0.22,2.1,0.052,31.0,143.0,0.9956,3.32,0.63,10.4,6.0
171,8.0,0.55,0.24,1.8,0.095,42.0,64.0,0.9986,3.48,0.53,10.4,6.0
172,7.4,0.37,0.34,2.0,0.064,15.0,89.0,0.9974,3.3,0.63,9.8,6.0
173,7.9,0.46,0.21,2.2,0.074,16.0,27.0,0.9966,3.09,0.57,9.6,5.0
174,8.1,0.84,0.33,2.9,0.08,13.0,34.0,0.9987,3.17,0.65,10.2,6.0
175,6.7,0.43,0.01,1.8,0.079,6.0,18.0,0.99585,3.46,0.55,10.8,7.0
176,9.9,0.36,0.44,2.2,0.08,10.0,33.0,0.9994,3.16,0.59,10.0,7.0
177,7.9,0.78,0.21,2.1,0.07,15.0,40.0,0.9964,3.47,0.52,10.0,4.0
178,7.3,0.53,0.01,2.5,0.072,9.0,28.0,0.99568,3.37,0.57,9.0,5.0
179,8.2,0.56,0.11,2.0,0.076,26.0,54.0,0.99764,3.48,0.54,9.7,5.0
180,7.3,0.52,0.14,2.4,0.066,17.0,35.0,0.99476,3.2,0.58,10.5,5.0
181,7.9,0.54,0.05,2.0,0.076,6.0,20.0,0.997,3.2,0.61,9.3,5.0
182,7.4,0.49,0.06,2.1,0.096,32.0,43.0,0.9987,3.26,0.68,10.2,5.0
183,8.0,0.39,0.49,2.5,0.08,31.0,131.0,0.99685,3.09,0.53,9.9,5.0
184,7.7,0.5,0.12,2.3,0.062,6.0,15.0,0.997,3.36,0.56,10.4,6.0
185,7.0,0.49,0.45,1.8,0.091,8.0,22.0,0.9948,3.34,0.61,9.4,5.0
186,6.6,0.34,0.34,1.5,0.214,10.0,18.0,0.99258,3.43,0.63,12.6,6.0
187,7.0,0.51,0.04,2.0,0.084,21.0,60.0,0.9978,3.47,0.54,9.5,4.0
188,7.9,0.54,0.21,2.3,0.08,6.0,18.0,0.99656,3.38,0.67,9.4,6.0
189,8.6,0.58,0.08,1.8,0.073,9.0,28.0,0.9974,3.41,0.57,10.5,5.0
190,11.3,0.41,0.49,2.2,0.107,10.0,46.0,0.9981,3.2,0.79,9.3,6.0
191,7.2,0.645,0.14,2.0,0.076,17.0,46.0,0.9982,3.28,0.58,9.5,6.0
192,6.6,0.645,0.0,1.6,0.079,26.0,46.0,0.9981,3.51,0.54,9.4,5.0
193,8.4,0.82,0.05,2.6,0.08,12.0,33.0,0.9972,3.32,0.65,10.3,6.0
194,7.0,0.57,0.02,2.1,0.0819999999999999,6.0,14.0,0.99655,3.39,0.9,9.4,6.0
195,9.1,0.43,0.49,2.3,0.073,9.0,31.0,0.99682,3.31,0.59,9.3,5.0
196,8.0,0.38,0.32,2.3,0.06,12.0,41.0,0.99708,3.38,0.66,11.5,8.0
197,7.8,0.39,0.02,2.3,0.078,18.0,35.0,0.9978,3.53,0.61,9.9,5.0
198,7.8,0.4,0.12,2.0,0.095,16.0,49.0,0.9976,3.32,0.52,9.5,6.0
199,10.0,0.35,0.54,2.3,0.095,25.0,50.0,0.99476,3.02,0.82,11.9,7.0
200,8.9,0.47,0.32,2.0,0.08,31.0,141.0,0.99552,3.27,0.62,9.7,5.0
201,8.2,0.935,0.11,2.2,0.079,12.0,22.0,0.99668,3.41,0.62,10.4,6.0
202,12.4,0.54,0.56,2.2,0.087,6.0,19.0,0.9993,3.3,0.58,11.9,7.0
203,7.7,0.52,0.21,2.3,0.086,12.0,24.0,0.9976,3.21,0.73,9.7,5.0
204,7.5,0.69,0.06,2.3,0.08,6.0,15.0,0.9971,3.27,0.48,9.4,6.0
205,7.7,0.24,0.37,2.2,0.077,5.0,13.0,0.9981,3.36,0.6,9.5,6.0
206,7.2,0.62,0.03,2.0,0.062,10.0,23.0,0.99743,3.38,0.48,9.4,5.0
207,11.8,0.45,0.49,2.3,0.061,9.0,18.0,0.9976,3.12,0.58,9.55,6.0
208,6.3,0.53,0.02,1.8,0.081,18.0,37.0,0.9957,3.31,0.48,11.0,6.0
209,9.1,0.865,0.05,2.2,0.094,5.0,16.0,0.9981,3.17,0.6,9.4,5.0
210,7.8,0.73,0.04,1.4,0.066,14.0,32.0,0.99492,3.42,0.54,9.8,6.0
211,7.8,0.4,0.2,2.1,0.076,7.0,20.0,0.9977,3.5,0.61,10.6,6.0
212,8.6,0.33,0.41,2.5,0.076,19.0,65.0,0.99258,3.3,0.52,9.4,5.0
213,8.3,0.58,0.3,2.2,0.05,4.0,15.0,0.99694,3.17,0.52,11.4,7.0
214,8.4,0.5,0.3,2.4,0.0819999999999999,6.0,20.0,0.9976,3.22,0.69,10.0,7.0
215,7.5,0.57,0.01,2.6,0.07,10.0,45.0,0.99526,3.15,0.6,9.5,5.0
216,8.4,0.28,0.31,2.3,0.09,7.0,28.0,0.996,3.3,0.66,10.0,6.0
217,7.0,0.61,0.0,2.0,0.077,6.0,43.0,0.9982,3.39,0.63,9.2,6.0
218,10.4,0.42,0.49,2.6,0.07,28.0,51.0,0.9982,3.26,0.61,9.8,5.0
219,7.1,0.18,0.24,2.0,0.0579999999999999,22.0,58.0,0.99774,3.2,0.58,9.5,5.0
220,6.8,0.64,0.21,2.4,0.0819999999999999,5.0,23.0,0.99668,3.39,0.55,10.2,5.0
221,9.9,0.6,0.34,2.4,0.092,14.0,25.0,0.99521,3.31,0.71,9.9,4.0
222,7.2,0.6,0.06,2.0,0.098,23.0,84.0,0.9978,3.53,0.64,9.8,3.0
223,7.6,0.39,0.31,1.8,0.054,6.0,32.0,0.9979,3.26,0.54,9.4,5.0
224,7.5,0.5,0.0,2.2,0.067,3.0,8.0,0.9987,3.54,0.65,9.3,5.0
225,7.2,0.6,0.02,1.6,0.072,4.0,14.0,0.9948,3.54,0.57,9.5,5.0
226,7.0,0.5,0.1,2.3,0.079,10.0,27.0,0.9976,3.53,0.55,12.8,7.0
227,6.9,0.49,0.12,2.0,0.085,10.0,43.0,0.9982,3.28,0.61,9.8,6.0
228,8.0,0.61,0.0,2.1,0.084,27.0,59.0,0.9973,3.3,0.67,9.4,5.0
229,7.3,0.64,0.03,2.0,0.063,6.0,20.0,0.995,3.31,0.59,9.2,5.0
230,7.1,0.38,0.3,2.2,0.071,18.0,38.0,0.997,3.22,0.54,9.7,6.0
231,10.1,0.38,0.52,1.9,0.068,24.0,101.0,0.99822,3.38,0.52,9.8,6.0
232,7.0,0.38,0.3,2.3,0.06,9.0,18.0,0.9988,3.24,0.62,10.0,6.0
233,8.1,0.57,0.12,2.5,0.079,21.0,94.0,0.99564,3.27,0.8,10.9,5.0
234,6.4,0.58,0.01,2.1,0.091,12.0,28.0,0.996,3.49,0.6,10.8,5.0
235,6.3,0.69,0.08,2.0,0.069,4.0,9.0,0.99652,3.46,0.52,11.4,6.0
236,10.3,0.28,0.44,2.3,0.076,13.0,28.0,0.9982,3.16,0.71,11.8,7.0
237,7.5,0.56,0.11,1.5,0.073,6.0,22.0,0.99786,3.36,0.52,9.5,6.0
238,7.7,0.735,0.18,2.1,0.077,9.0,17.0,0.9956,3.51,0.76,9.8,5.0
239,7.1,0.59,0.0,2.1,0.0819999999999999,25.0,54.0,0.99742,3.56,0.7,10.7,6.0
240,7.1,0.41,0.49,1.9,0.074,10.0,22.0,0.9976,3.16,0.72,9.8,6.0
241,6.7,0.58,0.0,1.8,0.071,34.0,85.0,0.9982,3.45,0.55,9.9,5.0
242,8.0,0.38,0.27,2.6,0.072,10.0,45.0,0.9966,3.3,0.46,9.4,5.0
243,8.6,0.45,0.19,1.8,0.062,5.0,27.0,0.9958,3.28,0.63,9.5,5.0
244,7.9,0.745,0.0,8.1,0.059,11.0,35.0,0.9986,3.43,0.58,10.0,5.0
245,7.6,0.66,0.07,1.8,0.081,6.0,17.0,0.9976,3.37,0.73,9.6,6.0
246,7.1,0.37,0.26,2.2,0.077,5.0,15.0,0.99739,3.42,0.77,9.9,5.0
247,8.1,0.51,0.07,2.4,0.087,10.0,31.0,0.99586,3.15,0.7,9.8,5.0
248,10.9,0.54,0.24,1.8,0.072,16.0,39.0,0.9997,3.16,0.62,10.9,6.0
249,5.1,0.58,0.0,1.7,0.094,6.0,26.0,0.99538,3.51,0.77,10.0,6.0
250,11.6,0.32,0.49,3.2,0.089,11.0,47.0,0.9982,3.24,0.57,9.6,5.0
251,9.9,0.32,0.57,2.3,0.063,9.0,33.0,0.99464,3.45,0.54,11.5,6.0
252,7.3,0.67,0.2,1.8,0.077,16.0,58.0,0.9988,3.59,0.56,9.8,6.0
253,7.4,0.965,0.12,3.3,0.07,15.0,21.0,0.9973,3.45,0.63,9.5,6.0
254,8.9,0.52,0.18,2.5,0.054,5.0,20.0,0.99538,3.34,0.62,11.4,7.0
255,7.0,0.46,0.3,2.6,0.088,6.0,13.0,0.99476,3.34,0.61,11.0,5.0
256,7.2,0.62,0.01,2.1,0.071,34.0,54.0,0.99498,3.38,0.53,10.2,5.0
257,12.5,0.31,0.53,2.1,0.106,12.0,64.0,0.99542,3.28,0.68,9.2,6.0
258,7.8,0.44,0.27,2.3,0.071,9.0,21.0,0.99562,3.31,0.62,9.5,5.0
259,7.2,0.43,0.34,2.5,0.074,6.0,14.0,0.99686,3.27,0.56,9.5,5.0
260,8.3,0.7,0.0,1.8,0.066,13.0,45.0,0.9983,3.22,0.6,9.8,5.0
261,7.1,0.63,0.07,2.3,0.085,6.0,19.0,0.9986,3.38,0.57,11.3,6.0
262,7.6,0.58,0.24,2.1,0.067,11.0,20.0,0.9977,3.3,0.55,9.8,5.0
263,11.7,0.32,0.42,2.0,0.078,6.0,15.0,0.9978,3.21,0.62,10.1,5.0
264,7.0,0.28,0.43,2.1,0.071,5.0,12.0,0.998,3.45,0.82,10.4,6.0
265,7.5,0.69,0.0,1.9,0.08,15.0,26.0,0.99702,3.07,0.64,9.5,6.0
266,7.3,0.62,0.0,1.8,0.085,6.0,16.0,0.99547,3.2,0.54,9.6,4.0
267,7.1,0.735,0.18,2.5,0.08,23.0,48.0,0.99586,3.2,0.65,11.1,6.0
268,6.7,0.715,0.02,2.3,0.076,15.0,44.0,0.9978,3.38,0.53,9.4,5.0
